name,experienced,started,session_1,session_2,session_3,session_4,session_5,session_6
Eli,No,01-Feb-2024,Target hit 28 times from 52 shots.,Target hit 27 times from 57 shots.,Target hit 25 times from 53 shots.,Target hit 24 times from 44 shots.,Target hit 33 times from 58 shots.,Target hit 24 times from 41 shots.
Aria,No,01-Feb-2024,Target hit 20 times from 41 shots.,Target hit 29 times from 50 shots.,Target hit 19 times from 39 shots.,Target hit 22 times from 43 shots.,Target hit 27 times from 46 shots.,Target hit 15 times from 33 shots.
Isabelle,Yes,15-Dec-2021,Target hit 53 times from 57 shots.,Target hit 75 times from 75 shots.,Target hit 58 times from 64 shots.,Target hit 57 times from 63 shots.,Target hit 62 times from 63 shots.,Target hit 78 times from 84 shots.
Sofia,No,01-Feb-2024,Target hit 21 times from 41 shots.,Target hit 26 times from 49 shots.,Target hit 28 times from 46 shots.,Target hit 22 times from 48 shots.,Target hit 20 times from 42 shots.,Target hit 28 times from 47 shots.
Mackenzie,Yes,17-Apr-2023,Target hit 59 times from 72 shots.,Target hit 41 times from 45 shots.,Target hit 52 times from 65 shots.,Target hit 47 times from 56 shots.,Target hit 58 times from 67 shots.,Target hit 41 times from 48 shots.
Audrey,Yes,14-Apr-2022,Target hit 46 times from 52 shots.,Target hit 51 times from 54 shots.,Target hit 59 times from 64 shots.,Target hit 52 times from 58 shots.,Target hit 67 times from 77 shots.,Target hit 66 times from 74 shots.
Abigail,No,01-Feb-2024,Target hit 28 times from 44 shots.,Target hit 21 times from 40 shots.,Target hit 26 times from 45 shots.,Target hit 26 times from 52 shots.,Target hit 29 times from 48 shots.,Target hit 21 times from 55 shots.
Zoe,Yes,15-Nov-2021,Target hit 72 times from 77 shots.,Target hit 57 times from 63 shots.,Target hit 55 times from 62 shots.,Target hit 56 times from 59 shots.,Target hit 64 times from 70 shots.,Target hit 52 times from 60 shots.
Claire,No,01-Feb-2024,Target hit 18 times from 41 shots.,Target hit 17 times from 37 shots.,Target hit 33 times from 52 shots.,Target hit 27 times from 46 shots.,Target hit 16 times from 26 shots.,Target hit 33 times from 47 shots.
Florence,No,01-Feb-2024,Target hit 23 times from 37 shots.,Target hit 25 times from 45 shots.,Target hit 23 times from 44 shots.,Target hit 15 times from 30 shots.,Target hit 14 times from 31 shots.,Target hit 23 times from 40 shots.
